Text,Bounding_Boxes
static,"[[ 659.6797   771.24316]
 [1042.876    771.24316]
 [1042.876    902.209  ]
 [ 659.6797   902.209  ]]"
information,"[[1076.8301   771.24316]
 [1828.6709   771.24316]
 [1828.6709   902.209  ]
 [1076.8301   902.209  ]]"
dink,"[[194.02344 776.09375]
 [538.41504 776.09375]
 [538.41504 902.209  ]
 [194.02344 902.209  ]]"
elue,"[[ 189.17285  945.86426]
 [ 567.51855  945.86426]
 [ 567.51855 1071.9795 ]
 [ 189.17285 1071.9795 ]]"
dynamic,"[[ 708.24585  956.7752 ]
 [1292.7355   927.5507 ]
 [1300.3683  1080.2051 ]
 [ 715.87854 1109.4294 ]]"
information,"[[1324.21    941.0137]
 [2076.0508  941.0137]
 [2076.0508 1076.8301]
 [1324.21   1076.8301]]"
codee,"[[2284.626  1062.2783]
 [2347.6836 1062.2783]
 [2347.6836 1081.6807]
 [2284.626  1081.6807]]"
tro,"[[2362.2354 1062.2783]
 [2396.1895 1062.2783]
 [2396.1895 1076.8301]
 [2362.2354 1076.8301]]"
eoud,"[[2434.9941 1062.2783]
 [2502.9023 1062.2783]
 [2502.9023 1076.8301]
 [2434.9941 1076.8301]]"
ealo,"[[2318.58   1091.3818]
 [2376.787  1091.3818]
 [2376.787  1110.7842]
 [2318.58   1110.7842]]"
doile,"[[2197.3154 1096.2324]
 [2260.373  1096.2324]
 [2260.373  1110.7842]
 [2197.3154 1110.7842]]"
ibale,"[[3075.2715 1110.7842]
 [3133.4785 1110.7842]
 [3133.4785 1130.1865]
 [3075.2715 1130.1865]]"
opgtr,"[[1852.9238 1115.6348]
 [1915.9814 1115.6348]
 [1915.9814 1135.0371]
 [1852.9238 1135.0371]]"
gra,"[[1925.6826 1115.6348]
 [1964.4873 1115.6348]
 [1964.4873 1135.0371]
 [1925.6826 1135.0371]]"
balc,"[[1974.1885 1115.6348]
 [2032.3955 1115.6348]
 [2032.3955 1139.8877]
 [1974.1885 1139.8877]]"
refer,"[[2197.3154 1115.6348]
 [2250.6719 1115.6348]
 [2250.6719 1135.0371]
 [2197.3154 1135.0371]]"
cril,"[[2294.3271 1115.6348]
 [2337.9824 1115.6348]
 [2337.9824 1135.0371]
 [2294.3271 1135.0371]]"
ngeof,"[[2949.1562 1115.6348]
 [3017.0645 1115.6348]
 [3017.0645 1130.1865]
 [2949.1562 1130.1865]]"
lnotes,"[[1295.1064 1120.4854]
 [1358.1641 1120.4854]
 [1358.1641 1139.8877]
 [1295.1064 1139.8877]]"
tte,"[[1372.7158 1120.4854]
 [1406.6699 1120.4854]
 [1406.6699 1135.0371]
 [1372.7158 1135.0371]]"
ldeomond,"[[1440.624  1120.4854]
 [1518.2334 1120.4854]
 [1518.2334 1135.0371]
 [1440.624  1135.0371]]"
awings,"[[2221.5684 1135.0371]
 [2289.4766 1135.0371]
 [2289.4766 1154.4395]
 [2221.5684 1154.4395]]"
fcr,"[[2299.1777 1135.0371]
 [2337.9824 1135.0371]
 [2337.9824 1159.29  ]
 [2299.1777 1159.29  ]]"
fer,"[[2973.4092 1135.0371]
 [3007.3633 1135.0371]
 [3007.3633 1149.5889]
 [2973.4092 1149.5889]]"
froide,"[[1295.1064 1139.8877]
 [1367.8652 1139.8877]
 [1367.8652 1159.29  ]
 [1295.1064 1159.29  ]]"
vehille,"[[1377.5664 1139.8877]
 [1450.3252 1139.8877]
 [1450.3252 1159.29  ]
 [1377.5664 1159.29  ]]"
stelle,"[[1460.0264 1139.8877]
 [1523.084  1139.8877]
 [1523.084  1159.29  ]
 [1460.0264 1159.29  ]]"
refer,"[[1852.9238 1139.8877]
 [1906.2803 1139.8877]
 [1906.2803 1154.4395]
 [1852.9238 1154.4395]]"
cifil,"[[1949.9355 1139.8877]
 [1993.5908 1139.8877]
 [1993.5908 1154.4395]
 [1949.9355 1154.4395]]"
drawings,"[[2949.1562 1154.4395]
 [3041.3174 1154.4395]
 [3041.3174 1173.8418]
 [2949.1562 1173.8418]]"
for,"[[3051.0186 1154.4395]
 [3089.8232 1154.4395]
 [3089.8232 1173.8418]
 [3051.0186 1173.8418]]"
fnotecton,"[[1295.1064 1159.29  ]
 [1406.6699 1159.29  ]
 [1406.6699 1178.6924]
 [1295.1064 1178.6924]]"
